entity	sub_entity	attribute	sub_attribute	value	comment	timestamp
VC40499	100bp		I (Breadth of Coverage)	0.970282769193		2015-04-03 19:54:51.723707
VC40499	100bp		I (Sum of Depths)	201906697		2015-04-03 19:54:51.723707
VC40499	100bp		I (Length)	15072434		2015-04-03 19:54:51.723707
VC40499	100bp		I (Depth of Coverage)	13.3957592384		2015-04-03 19:54:51.723707
VC40499	100bp		I (Bases Mapped)	14624523		2015-04-03 19:54:51.723707
VC40499	100bp		nuclear (Depth of Coverage)	13.7308371966		2015-04-03 19:54:51.723707
VC40499	100bp		nuclear (Length)	100272607		2015-04-03 19:54:51.723707
VC40499	100bp		nuclear (Sum of Depths)	1376826842		2015-04-03 19:54:51.723707
VC40499	100bp		nuclear (Breadth of Coverage)	0.979507733353		2015-04-03 19:54:51.723707
VC40499	100bp		nuclear (Bases Mapped)	98217794		2015-04-03 19:54:51.723707
VC40499	100bp		MtDNA (Breadth of Coverage)	0.998767580107		2015-04-03 19:54:51.723707
VC40499	100bp		MtDNA (Sum of Depths)	6418679		2015-04-03 19:54:51.723707
VC40499	100bp		MtDNA (Length)	13794		2015-04-03 19:54:51.723707
VC40499	100bp		MtDNA (Depth of Coverage)	465.323981441		2015-04-03 19:54:51.723707
VC40499	100bp		MtDNA (Bases Mapped)	13777		2015-04-03 19:54:51.723707
VC40499	100bp		II (Breadth of Coverage)	0.978459262298		2015-04-03 19:54:51.723707
VC40499	100bp		II (Sum of Depths)	204847098		2015-04-03 19:54:51.723707
VC40499	100bp		II (Length)	15279421		2015-04-03 19:54:51.723707
VC40499	100bp		II (Depth of Coverage)	13.406731708		2015-04-03 19:54:51.723707
VC40499	100bp		II (Bases Mapped)	14950291		2015-04-03 19:54:51.723707
VC40499	100bp		genome (mt_ratio)	0.00466193627564		2015-04-03 19:54:51.723707
VC40499	100bp		genome (Bases Mapped)	98231571		2015-04-03 19:54:51.723707
VC40499	100bp		genome (Breadth of Coverage)	0.97951038247		2015-04-03 19:54:51.723707
VC40499	100bp		genome (Sum of Depths)	1383245521		2015-04-03 19:54:51.723707
VC40499	100bp		genome (Length)	100286401		2015-04-03 19:54:51.723707
VC40499	100bp		genome (Depth of Coverage)	13.7929520574		2015-04-03 19:54:51.723707
VC40499	100bp		V (Breadth of Coverage)	0.985158223644		2015-04-03 19:54:51.723707
VC40499	100bp		V (Sum of Depths)	290821772		2015-04-03 19:54:51.723707
VC40499	100bp		V (Length)	20924180		2015-04-03 19:54:51.723707
VC40499	100bp		V (Depth of Coverage)	13.8988372304		2015-04-03 19:54:51.723707
VC40499	100bp		V (Bases Mapped)	20613628		2015-04-03 19:54:51.723707
VC40499	100bp		X (Breadth of Coverage)	0.996042427364		2015-04-03 19:54:51.723707
VC40499	100bp		X (Sum of Depths)	267541325		2015-04-03 19:54:51.723707
VC40499	100bp		X (Length)	17718942		2015-04-03 19:54:51.723707
VC40499	100bp		X (Depth of Coverage)	15.0991704245		2015-04-03 19:54:51.723707
VC40499	100bp		X (Bases Mapped)	17648818		2015-04-03 19:54:51.723707
VC40499	100bp		IV (Breadth of Coverage)	0.978533687508		2015-04-03 19:54:51.723707
VC40499	100bp		IV (Sum of Depths)	235260221		2015-04-03 19:54:51.723707
VC40499	100bp		IV (Length)	17493829		2015-04-03 19:54:51.723707
VC40499	100bp		IV (Depth of Coverage)	13.4481834137		2015-04-03 19:54:51.723707
VC40499	100bp		IV (Bases Mapped)	17118301		2015-04-03 19:54:51.723707
VC40499	100bp		III (Breadth of Coverage)	0.962160800203		2015-04-03 19:54:51.723707
VC40499	100bp		III (Sum of Depths)	176449729		2015-04-03 19:54:51.723707
VC40499	100bp		III (Length)	13783801		2015-04-03 19:54:51.723707
VC40499	100bp		III (Depth of Coverage)	12.80123886		2015-04-03 19:54:51.723707
VC40499	100bp		III (Bases Mapped)	13262233		2015-04-03 19:54:51.723707
VC40550	100bp		I (Breadth of Coverage)	0.987267882546		2015-04-03 19:55:20.773038
VC40550	100bp		I (Sum of Depths)	208970889		2015-04-03 19:55:20.773038
VC40550	100bp		I (Length)	15072434		2015-04-03 19:55:20.773038
VC40550	100bp		I (Depth of Coverage)	13.8644421332		2015-04-03 19:55:20.773038
VC40550	100bp		I (Bases Mapped)	14880530		2015-04-03 19:55:20.773038
VC40550	100bp		nuclear (Depth of Coverage)	14.0970307274		2015-04-03 19:55:20.773038
VC40550	100bp		nuclear (Length)	100272607		2015-04-03 19:55:20.773038
VC40550	100bp		nuclear (Sum of Depths)	1413546022		2015-04-03 19:55:20.773038
VC40550	100bp		nuclear (Breadth of Coverage)	0.990268109814		2015-04-03 19:55:20.773038
VC40550	100bp		nuclear (Bases Mapped)	99296765		2015-04-03 19:55:20.773038
VC40550	100bp		MtDNA (Breadth of Coverage)	0.984558503697		2015-04-03 19:55:20.773038
VC40550	100bp		MtDNA (Sum of Depths)	5318844		2015-04-03 19:55:20.773038
VC40550	100bp		MtDNA (Length)	13794		2015-04-03 19:55:20.773038
VC40550	100bp		MtDNA (Depth of Coverage)	385.591126577		2015-04-03 19:55:20.773038
VC40550	100bp		MtDNA (Bases Mapped)	13581		2015-04-03 19:55:20.773038
VC40550	100bp		II (Breadth of Coverage)	0.989184930502		2015-04-03 19:55:20.773038
VC40550	100bp		II (Sum of Depths)	208676061		2015-04-03 19:55:20.773038
VC40550	100bp		II (Length)	15279421		2015-04-03 19:55:20.773038
VC40550	100bp		II (Depth of Coverage)	13.6573277875		2015-04-03 19:55:20.773038
VC40550	100bp		II (Bases Mapped)	15114173		2015-04-03 19:55:20.773038
VC40550	100bp		genome (mt_ratio)	0.00376276677039		2015-04-03 19:55:20.773038
VC40550	100bp		genome (Bases Mapped)	99310346		2015-04-03 19:55:20.773038
VC40550	100bp		genome (Breadth of Coverage)	0.99026732448		2015-04-03 19:55:20.773038
VC40550	100bp		genome (Sum of Depths)	1418864866		2015-04-03 19:55:20.773038
VC40550	100bp		genome (Length)	100286401		2015-04-03 19:55:20.773038
VC40550	100bp		genome (Depth of Coverage)	14.1481282791		2015-04-03 19:55:20.773038
VC40550	100bp		V (Breadth of Coverage)	0.993251109482		2015-04-03 19:55:20.773038
VC40550	100bp		V (Sum of Depths)	298741341		2015-04-03 19:55:20.773038
VC40550	100bp		V (Length)	20924180		2015-04-03 19:55:20.773038
VC40550	100bp		V (Depth of Coverage)	14.2773260888		2015-04-03 19:55:20.773038
VC40550	100bp		V (Bases Mapped)	20782965		2015-04-03 19:55:20.773038
VC40550	100bp		X (Breadth of Coverage)	0.997925271159		2015-04-03 19:55:20.773038
VC40550	100bp		X (Sum of Depths)	268606372		2015-04-03 19:55:20.773038
VC40550	100bp		X (Length)	17718942		2015-04-03 19:55:20.773038
VC40550	100bp		X (Depth of Coverage)	15.1592782458		2015-04-03 19:55:20.773038
VC40550	100bp		X (Bases Mapped)	17682180		2015-04-03 19:55:20.773038
VC40550	100bp		IV (Breadth of Coverage)	0.989567635536		2015-04-03 19:55:20.773038
VC40550	100bp		IV (Sum of Depths)	243943981		2015-04-03 19:55:20.773038
VC40550	100bp		IV (Length)	17493829		2015-04-03 19:55:20.773038
VC40550	100bp		IV (Depth of Coverage)	13.9445733121		2015-04-03 19:55:20.773038
VC40550	100bp		IV (Bases Mapped)	17311327		2015-04-03 19:55:20.773038
VC40550	100bp		III (Breadth of Coverage)	0.981267068496		2015-04-03 19:55:20.773038
VC40550	100bp		III (Sum of Depths)	184607378		2015-04-03 19:55:20.773038
VC40550	100bp		III (Length)	13783801		2015-04-03 19:55:20.773038
VC40550	100bp		III (Depth of Coverage)	13.3930675581		2015-04-03 19:55:20.773038
VC40550	100bp		III (Bases Mapped)	13525590		2015-04-03 19:55:20.773038
VC41033	100bp		I (Breadth of Coverage)	0.986035102227		2015-04-03 19:56:04.775547
VC41033	100bp		I (Sum of Depths)	222709322		2015-04-03 19:56:04.775547
VC41033	100bp		I (Length)	15072434		2015-04-03 19:56:04.775547
VC41033	100bp		I (Depth of Coverage)	14.7759361229		2015-04-03 19:56:04.775547
VC41033	100bp		I (Bases Mapped)	14861949		2015-04-03 19:56:04.775547
VC41033	100bp		nuclear (Depth of Coverage)	14.8965130826		2015-04-03 19:56:04.775547
VC41033	100bp		nuclear (Length)	100272607		2015-04-03 19:56:04.775547
VC41033	100bp		nuclear (Sum of Depths)	1493712202		2015-04-03 19:56:04.775547
VC41033	100bp		nuclear (Breadth of Coverage)	0.989551912219		2015-04-03 19:56:04.775547
VC41033	100bp		nuclear (Bases Mapped)	99224950		2015-04-03 19:56:04.775547
VC41033	100bp		MtDNA (Breadth of Coverage)	0.986153400029		2015-04-03 19:56:04.775547
VC41033	100bp		MtDNA (Sum of Depths)	5701907		2015-04-03 19:56:04.775547
VC41033	100bp		MtDNA (Length)	13794		2015-04-03 19:56:04.775547
VC41033	100bp		MtDNA (Depth of Coverage)	413.36138901		2015-04-03 19:56:04.775547
VC41033	100bp		MtDNA (Bases Mapped)	13603		2015-04-03 19:56:04.775547
VC41033	100bp		II (Breadth of Coverage)	0.988111918639		2015-04-03 19:56:04.775547
VC41033	100bp		II (Sum of Depths)	219095584		2015-04-03 19:56:04.775547
VC41033	100bp		II (Length)	15279421		2015-04-03 19:56:04.775547
VC41033	100bp		II (Depth of Coverage)	14.3392595832		2015-04-03 19:56:04.775547
VC41033	100bp		II (Bases Mapped)	15097778		2015-04-03 19:56:04.775547
VC41033	100bp		genome (mt_ratio)	0.00381727282696		2015-04-03 19:56:04.775547
VC41033	100bp		genome (Bases Mapped)	99238553		2015-04-03 19:56:04.775547
VC41033	100bp		genome (Breadth of Coverage)	0.989551444767		2015-04-03 19:56:04.775547
VC41033	100bp		genome (Sum of Depths)	1499414109		2015-04-03 19:56:04.775547
VC41033	100bp		genome (Length)	100286401		2015-04-03 19:56:04.775547
VC41033	100bp		genome (Depth of Coverage)	14.951320359		2015-04-03 19:56:04.775547
VC41033	100bp		V (Breadth of Coverage)	0.992780983532		2015-04-03 19:56:04.775547
VC41033	100bp		V (Sum of Depths)	316937879		2015-04-03 19:56:04.775547
VC41033	100bp		V (Length)	20924180		2015-04-03 19:56:04.775547
VC41033	100bp		V (Depth of Coverage)	15.1469677187		2015-04-03 19:56:04.775547
VC41033	100bp		V (Bases Mapped)	20773128		2015-04-03 19:56:04.775547
VC41033	100bp		X (Breadth of Coverage)	0.997712955999		2015-04-03 19:56:04.775547
VC41033	100bp		X (Sum of Depths)	285577523		2015-04-03 19:56:04.775547
VC41033	100bp		X (Length)	17718942		2015-04-03 19:56:04.775547
VC41033	100bp		X (Depth of Coverage)	16.117075331		2015-04-03 19:56:04.775547
VC41033	100bp		X (Bases Mapped)	17678418		2015-04-03 19:56:04.775547
VC41033	100bp		IV (Breadth of Coverage)	0.989364592509		2015-04-03 19:56:04.775547
VC41033	100bp		IV (Sum of Depths)	254482211		2015-04-03 19:56:04.775547
VC41033	100bp		IV (Length)	17493829		2015-04-03 19:56:04.775547
VC41033	100bp		IV (Depth of Coverage)	14.5469703059		2015-04-03 19:56:04.775547
VC41033	100bp		IV (Bases Mapped)	17307775		2015-04-03 19:56:04.775547
VC41033	100bp		III (Breadth of Coverage)	0.979838725182		2015-04-03 19:56:04.775547
VC41033	100bp		III (Sum of Depths)	194909683		2015-04-03 19:56:04.775547
VC41033	100bp		III (Length)	13783801		2015-04-03 19:56:04.775547
VC41033	100bp		III (Depth of Coverage)	14.140488752		2015-04-03 19:56:04.775547
VC41033	100bp		III (Bases Mapped)	13505902		2015-04-03 19:56:04.775547
